Date,Shift,Equipment,Plant Area,Delay Duration (min),Delay Category,Fault Code,Description,Root Cause,Corrective Action,Technician
2026-05-01,A,Blast Furnace #1 Main Drive,Blast Furnace,45,Mechanical,E003,High vibration alarm triggered - vibration 8.9 mm/s,Bearing wear - lubrication interval exceeded,Emergency lubrication applied - bearing replacement scheduled,Rajesh Kumar
2026-05-03,B,CCM Segment Roll - Strand 2,Steel Melting Shop,120,Mechanical,E031,Segment bearing temperature reached 94 deg C during casting,Cooling water flow reduced due to blocked filter,Filter replaced - cooling flow restored - bearing inspected,Suresh Patel
2026-05-05,C,Hot Strip Mill Work Roll Drive,Hot Rolling Mill,30,Hydraulic,E010,Hydraulic pressure dropped to 185 bar during rolling,Internal seal leak in hydraulic cylinder,Seal kit replaced - pressure restored to 270 bar,Amit Singh
2026-05-07,A,EAF Transformer Cooling Pump,Steel Melting Shop,20,Electrical,E001,Pump motor overcurrent trip during heat 4,Single phase fault - MCB tripped,MCB reset after phase checked - root cause: loose terminal,Vijay Sharma
2026-05-10,B,Sinter Plant Exhaust Fan,Raw Material Handling,90,Mechanical,E003,Fan vibration increased to 7.2 mm/s - alarm triggered,Rotor imbalance due to dust buildup on blades,Blades cleaned and balanced - vibration reduced to 2.1 mm/s,Rajesh Kumar
2026-05-12,A,Ladle Crane Main Hoist,Steel Melting Shop,60,Mechanical,,Wire rope inspection found 12 broken wires in one lay,Fatigue wear - rope change due per schedule,Wire rope replaced with new - proof load test completed,Suresh Patel
2026-05-14,C,Blast Furnace #1 Main Drive,Blast Furnace,180,Mechanical,E003,Bearing failure - vibration reached 12.5 mm/s - shutdown,Progressive bearing wear not addressed - earlier alarm ignored,Bearing replaced (SKF 22320 P/N B-2247) - alignment checked,Amit Singh
2026-05-16,B,CCM Hydraulic Mold Oscillation,Steel Melting Shop,40,Hydraulic,E010,Oscillation frequency irregular - pressure fluctuating,Hydraulic pump wear - flow rate reduced 15%,Pump replaced - system flushed and refilled,Vijay Sharma
2026-05-18,A,Hot Strip Mill Work Roll Drive,Hot Rolling Mill,25,Lubrication,,Oil analysis shows elevated iron particles (NAS 10),Gear tooth wear - oil change interval exceeded,Oil drained and replaced - filter changed - monitoring increased,Rajesh Kumar
2026-05-20,C,Coke Oven Pusher Machine Drive,Coke Oven,55,Electrical,E020,Encoder feedback fault - pusher stopped mid-cycle,Encoder coupling worn - intermittent signal loss,Encoder and coupling replaced - cable routing improved,Suresh Patel
